Date,Precipitation
02/01/1992 00:00:00,8.30
03/01/1992 00:00:00,0
04/01/1992 00:00:00,49.30
05/01/1992 00:00:00,151.90
06/01/1992 00:00:00,145.10
07/01/1992 00:00:00,240
08/01/1992 00:00:00,174.10
09/01/1992 00:00:00,110.50
10/01/1992 00:00:00,62.80
11/01/1992 00:00:00,26.40
12/01/1992 00:00:00,1.20
01/01/1993 00:00:00,12.90
02/01/1993 00:00:00,27.80
03/01/1993 00:00:00,59.10
04/01/1993 00:00:00,111.80
05/01/1993 00:00:00,210.50
06/01/1993 00:00:00,243.30
07/01/1993 00:00:00,675.10
08/01/1993 00:00:00,458.30
09/01/1993 00:00:00,137.90
10/01/1993 00:00:00,0
11/01/1993 00:00:00,0
12/01/1993 00:00:00,0.10
01/01/1994 00:00:00,77.90
02/01/1994 00:00:00,28.60
03/01/1994 00:00:00,34.10
04/01/1994 00:00:00,28.50
05/01/1994 00:00:00,153.50
06/01/1994 00:00:00,198.60
07/01/1994 00:00:00,128.30
08/01/1994 00:00:00,255.80
09/01/1994 00:00:00,269.60
10/01/1994 00:00:00,0
11/01/1994 00:00:00,1.30
12/01/1994 00:00:00,0
01/01/1995 00:00:00,3.40
02/01/1995 00:00:00,42.20
03/01/1995 00:00:00,61.10
04/01/1995 00:00:00,5.40
05/01/1995 00:00:00,125.10
06/01/1995 00:00:00,599.30
07/01/1995 00:00:00,286
08/01/1995 00:00:00,256
09/01/1995 00:00:00,151.80
10/01/1995 00:00:00,0
11/01/1995 00:00:00,153.40
12/01/1995 00:00:00,0
01/01/1996 00:00:00,64.40
02/01/1996 00:00:00,39.20
03/01/1996 00:00:00,0
04/01/1996 00:00:00,2.30
05/01/1996 00:00:00,65.70
06/01/1996 00:00:00,365.30
07/01/1996 00:00:00,362.80
08/01/1996 00:00:00,237
09/01/1996 00:00:00,129.70
10/01/1996 00:00:00,31.60
11/01/1996 00:00:00,0
12/01/1996 00:00:00,0
01/01/1997 00:00:00,22.80
02/01/1997 00:00:00,2
03/01/1997 00:00:00,17.80
04/01/1997 00:00:00,149
05/01/1997 00:00:00,80
06/01/1997 00:00:00,220.40
07/01/1997 00:00:00,355.90
08/01/1997 00:00:00,379.40
09/01/1997 00:00:00,30.90
10/01/1997 00:00:00,39.50
11/01/1997 00:00:00,25
12/01/1997 00:00:00,150.70
01/01/1998 00:00:00,0
02/01/1998 00:00:00,30
03/01/1998 00:00:00,139.80
04/01/1998 00:00:00,27.60
05/01/1998 00:00:00,117.20
06/01/1998 00:00:00,196.20
07/01/1998 00:00:00,595.80
08/01/1998 00:00:00,415.70
09/01/1998 00:00:00,70.60
10/01/1998 00:00:00,0
11/01/1998 00:00:00,0
12/01/1998 00:00:00,0
01/01/1999 00:00:00,0
02/01/1999 00:00:00,0
03/01/1999 00:00:00,1.30
04/01/1999 00:00:00,0
05/01/1999 00:00:00,126.80
06/01/1999 00:00:00,508.40
07/01/1999 00:00:00,724.30
08/01/1999 00:00:00,387.80
09/01/1999 00:00:00,100.70
10/01/1999 00:00:00,182.90
11/01/1999 00:00:00,0
12/01/1999 00:00:00,0
01/01/2000 00:00:00,1.10
02/01/2000 00:00:00,11.70
03/01/2000 00:00:00,13.50
04/01/2000 00:00:00,32.60
05/01/2000 00:00:00,254.60
06/01/2000 00:00:00,267
07/01/2000 00:00:00,219.80
08/01/2000 00:00:00,187.10
09/01/2000 00:00:00,510.80
10/01/2000 00:00:00,0
11/01/2000 00:00:00,0
12/01/2000 00:00:00,0.20
01/01/2001 00:00:00,9.30
02/01/2001 00:00:00,15.50
03/01/2001 00:00:00,18.10
04/01/2001 00:00:00,57.30
05/01/2001 00:00:00,122.30
06/01/2001 00:00:00,246.30
07/01/2001 00:00:00,366.40
08/01/2001 00:00:00,321.30
09/01/2001 00:00:00,174.20
10/01/2001 00:00:00,34.40
11/01/2001 00:00:00,0
12/01/2001 00:00:00,0
01/01/2002 00:00:00,45.60
02/01/2002 00:00:00,40.30
03/01/2002 00:00:00,16.80
04/01/2002 00:00:00,95.80
05/01/2002 00:00:00,187.20
06/01/2002 00:00:00,138.10
07/01/2002 00:00:00,877.40
08/01/2002 00:00:00,373.60
09/01/2002 00:00:00,151.20
10/01/2002 00:00:00,14.30
11/01/2002 00:00:00,0
12/01/2002 00:00:00,0
01/01/2003 00:00:00,23.30
02/01/2003 00:00:00,118
03/01/2003 00:00:00,49.90
04/01/2003 00:00:00,59.60
05/01/2003 00:00:00,61.90
06/01/2003 00:00:00,161.80
07/01/2003 00:00:00,501.70
08/01/2003 00:00:00,332.50
09/01/2003 00:00:00,142.30
10/01/2003 00:00:00,0
11/01/2003 00:00:00,0
12/01/2003 00:00:00,33.30
01/01/2004 00:00:00,32
02/01/2004 00:00:00,0
03/01/2004 00:00:00,0
04/01/2004 00:00:00,122.60
05/01/2004 00:00:00,179.70
06/01/2004 00:00:00,285
07/01/2004 00:00:00,498
08/01/2004 00:00:00,127.60
09/01/2004 00:00:00,126.50
10/01/2004 00:00:00,26.20
11/01/2004 00:00:00,8
12/01/2004 00:00:00,0
01/01/2005 00:00:00,73.40
02/01/2005 00:00:00,34.40
03/01/2005 00:00:00,68.20
04/01/2005 00:00:00,104.70
05/01/2005 00:00:00,104.80
06/01/2005 00:00:00,170.40
07/01/2005 00:00:00,247.50
08/01/2005 00:00:00,366
09/01/2005 00:00:00,12.10
10/01/2005 00:00:00,104.70
11/01/2005 00:00:00,0
12/01/2005 00:00:00,0
01/01/2006 00:00:00,0
02/01/2006 00:00:00,0
03/01/2006 00:00:00,2
04/01/2006 00:00:00,79.50
05/01/2006 00:00:00,98.50
06/01/2006 00:00:00,254.30
07/01/2006 00:00:00,184.30
08/01/2006 00:00:00,289.60
09/01/2006 00:00:00,324.30
10/01/2006 00:00:00,0
11/01/2006 00:00:00,0
12/01/2006 00:00:00,34.20
01/01/2007 00:00:00,0
02/01/2007 00:00:00,105.10
03/01/2007 00:00:00,38
04/01/2007 00:00:00,78.90
05/01/2007 00:00:00,164.30
06/01/2007 00:00:00,227.10
07/01/2007 00:00:00,224
08/01/2007 00:00:00,368
09/01/2007 00:00:00,323.60
10/01/2007 00:00:00,19
11/01/2007 00:00:00,0
12/01/2007 00:00:00,0
01/01/2008 00:00:00,8
02/01/2008 00:00:00,5
03/01/2008 00:00:00,29.50
04/01/2008 00:00:00,56.30
05/01/2008 00:00:00,83.60
06/01/2008 00:00:00,206.10
07/01/2008 00:00:00,217.10
08/01/2008 00:00:00,251.80
09/01/2008 00:00:00,85.60
10/01/2008 00:00:00,0
11/01/2008 00:00:00,0
12/01/2008 00:00:00,0
01/01/2009 00:00:00,0
02/01/2009 00:00:00,0
03/01/2009 00:00:00,65.50
04/01/2009 00:00:00,153.10
05/01/2009 00:00:00,172
06/01/2009 00:00:00,69.30
07/01/2009 00:00:00,290.20
08/01/2009 00:00:00,313
09/01/2009 00:00:00,89.60
10/01/2009 00:00:00,0
11/01/2009 00:00:00,0
12/01/2009 00:00:00,0
01/01/2010 00:00:00,13
02/01/2010 00:00:00,29.90
03/01/2010 00:00:00,0
04/01/2010 00:00:00,58.20
05/01/2010 00:00:00,112.60
06/01/2010 00:00:00,151.50
07/01/2010 00:00:00,285.90
08/01/2010 00:00:00,243.40
09/01/2010 00:00:00,299.80
10/01/2010 00:00:00,38
11/01/2010 00:00:00,0
12/01/2010 00:00:00,0
01/01/2011 00:00:00,13
02/01/2011 00:00:00,55.50
03/01/2011 00:00:00,0
04/01/2011 00:00:00,96.50
05/01/2011 00:00:00,91.30
06/01/2011 00:00:00,391.70
07/01/2011 00:00:00,422.40
08/01/2011 00:00:00,250.50
09/01/2011 00:00:00,158.80
10/01/2011 00:00:00,4.50
11/01/2011 00:00:00,1.50
12/01/2011 00:00:00,0
01/01/2012 00:00:00,27.90
02/01/2012 00:00:00,48.40
03/01/2012 00:00:00,0
04/01/2012 00:00:00,170.50
05/01/2012 00:00:00,51.30
06/01/2012 00:00:00,200.30
07/01/2012 00:00:00,380
08/01/2012 00:00:00,0
09/01/2012 00:00:00,255.10
10/01/2012 00:00:00,0
11/01/2012 00:00:00,0
12/01/2012 00:00:00,0
01/01/2013 00:00:00,17.50
02/01/2013 00:00:00,57.10
03/01/2013 00:00:00,9
04/01/2013 00:00:00,44.60
05/01/2013 00:00:00,91.70
06/01/2013 00:00:00,256.50
07/01/2013 00:00:00,337.50
08/01/2013 00:00:00,239.90
09/01/2013 00:00:00,46.60
10/01/2013 00:00:00,134.90
11/01/2013 00:00:00,0
12/01/2013 00:00:00,0
01/01/2014 00:00:00,10.50
02/01/2014 00:00:00,18.50
03/01/2014 00:00:00,80.50
04/01/2014 00:00:00,7
06/01/2014 00:00:00,23
07/01/2014 00:00:00,298.70
08/01/2014 00:00:00,291.10
11/01/2014 00:00:00,0
12/01/2014 00:00:00,22.10
01/01/2015 00:00:00,18
02/01/2015 00:00:00,32.40
03/01/2015 00:00:00,89.50
04/01/2015 00:00:00,78.50
05/01/2015 00:00:00,63.90
06/01/2015 00:00:00,119.60
07/01/2015 00:00:00,243.80
08/01/2015 00:00:00,161.40
09/01/2015 00:00:00,70.40
10/01/2015 00:00:00,18
11/01/2015 00:00:00,0
12/01/2015 00:00:00,0
01/01/2016 00:00:00,0
02/01/2016 00:00:00,3
03/01/2016 00:00:00,0
04/01/2016 00:00:00,0
05/01/2016 00:00:00,206.70
06/01/2016 00:00:00,103.50
07/01/2016 00:00:00,443.60
08/01/2016 00:00:00,87.70
09/01/2016 00:00:00,157.90
10/01/2016 00:00:00,9.60
11/01/2016 00:00:00,0
12/01/2016 00:00:00,0
01/01/2017 00:00:00,43
02/01/2017 00:00:00,0
03/01/2017 00:00:00,51.50
04/01/2017 00:00:00,69.50
05/01/2017 00:00:00,130.40
06/01/2017 00:00:00,146.10
07/01/2017 00:00:00,247.40
08/01/2017 00:00:00,272.60
09/01/2017 00:00:00,149.60
10/01/2017 00:00:00,13
11/01/2017 00:00:00,13
12/01/2017 00:00:00,0
01/01/2018 00:00:00,6.70
02/01/2018 00:00:00,0.10
03/01/2018 00:00:00,12.50
04/01/2018 00:00:00,97.90
05/01/2018 00:00:00,83.60
06/01/2018 00:00:00,192.10
07/01/2018 00:00:00,407.70
08/01/2018 00:00:00,225.60
09/01/2018 00:00:00,66.10
10/01/2018 00:00:00,0
11/01/2018 00:00:00,0
12/01/2018 00:00:00,0
01/01/2019 00:00:00,55.90
02/01/2019 00:00:00,86.60
03/01/2019 00:00:00,93.10
04/01/2019 00:00:00,88.50
05/01/2019 00:00:00,113
06/01/2019 00:00:00,180.40
07/01/2019 00:00:00,602.20
08/01/2019 00:00:00,106.20
09/01/2019 00:00:00,259.70
10/01/2019 00:00:00,5
11/01/2019 00:00:00,0
12/01/2019 00:00:00,42.50
01/01/2020 00:00:00,132.20
02/01/2020 00:00:00,34.20
03/01/2020 00:00:00,32
04/01/2020 00:00:00,78.10
05/01/2020 00:00:00,105.70
06/01/2020 00:00:00,345.50
07/01/2020 00:00:00,578
08/01/2020 00:00:00,176.20
09/01/2020 00:00:00,193.10
10/01/2020 00:00:00,0
11/01/2020 00:00:00,0
12/01/2020 00:00:00,0
01/01/2021 00:00:00,0
02/01/2021 00:00:00,1.50
03/01/2021 00:00:00,3.50
04/01/2021 00:00:00,128.80
05/01/2021 00:00:00,224.30
06/01/2021 00:00:00,251.90
07/01/2021 00:00:00,446.30
08/01/2021 00:00:00,226.50
09/01/2021 00:00:00,93.10
10/01/2021 00:00:00,75.70
11/01/2021 00:00:00,0
12/01/2021 00:00:00,65
01/01/2022 00:00:00,7.51
02/01/2022 00:00:00,41
03/01/2022 00:00:00,19.80
04/01/2022 00:00:00,45.10
05/01/2022 00:00:00,235.01
06/01/2022 00:00:00,294.33
07/01/2022 00:00:00,218.73
08/01/2022 00:00:00,205.04
09/01/2022 00:00:00,138.63
10/01/2022 00:00:00,132.60
11/01/2022 00:00:00,0
12/01/2022 00:00:00,0
